cluster,gene,mean,min,Q1,median,Q3,max
1,LY6D,-0.078823603486049,-0.597995991887989,-0.47927421436661,-0.406835007271473,-0.357983593376074,6.91543269354947
1,UPK3A,-0.167182091096694,-0.453605395336569,-0.361536727929099,-0.307409329953923,-0.269162107408042,6.95035467639827
1,ADIPOQ,-0.10739007203022,-0.624096883776253,-0.523898521594425,-0.445731780524567,-0.384878499713974,5.35138552528113
1,APOD,-0.133994685586095,-0.613191070149105,-0.503670310668763,-0.431392882272386,-0.386978724483644,4.81150562090568
1,UPK1B,0.0302789817850769,-0.388505285639521,-0.309565563058456,-0.260027188328173,-0.228707557964378,5.48679267165548
1,PLIN4,-0.318751344899541,-0.682173684566968,-0.576732165333971,-0.493305355837655,-0.439238657907884,5.26264650467412
1,C3,-0.0249750378692721,-2.20084148508583,-1.104759940726,-0.190628597633896,0.678940455159126,5.42431346026555
1,CIDEA,-0.0738295418851505,-0.325154934606073,-0.256070322282761,-0.215808536048364,-0.187633101554269,5.75287254339029
0,IGFBP2,-0.0487636703876861,-0.356884458522652,-0.297199179397695,-0.256067258181622,-0.218947772577994,6.96701357278757
0,ATP1A2,-0.212563969973222,-0.598203637238663,-0.522964212698008,-0.4654313909382,-0.406192943397353,5.7225895940473
0,CLIC3,-0.350487484628371,-0.944304937939745,-0.81532025277177,-0.71373783699681,-0.574134094512669,6.78159075458016
0,WT1,-0.310668678075084,-0.865191341310279,-0.757278137492344,-0.664993598428938,-0.562519846039744,6.76871592224418
0,ADIG,-0.123774673265011,-0.581127883381471,-0.501787468229205,-0.441278127918522,-0.384102347520011,6.89461367212157
0,RHBG,-0.78944537731303,-2.19953360693226,-1.59217058364438,-1.08089220286401,-0.550583268105344,6.40652541237988
0,SPRR1A,-0.127106566248525,-0.831734192360931,-0.680035718064896,-0.589426567176284,0.361858951047615,6.86946349109237
0,CIDEC,-0.0249671923704565,-0.850842267704288,-0.722500510258534,-0.617173195090857,0.355226579922807,6.86882228017585
0,PPARG,-0.154389081146651,-0.458946434675069,-0.391926006502339,-0.3449423183098,-0.301894754272504,4.36251386095986
0,PTPRO,-0.396320031933406,-0.934007766617095,-0.805002062051573,-0.717703760384225,-0.606511393218241,4.04828754729326
0,LIPE,-0.00850632751881793,-0.975144062109096,-0.785796034636394,-0.640538413713548,0.596112345367622,6.83194815770846
0,FXYD3,-0.115465762972016,-0.5599439723336,-0.47143924080157,-0.408715477570476,-0.349260138209739,6.92859877716878
0,PLIN1,-0.0382427056256207,-0.359119335991302,-0.310483099926557,-0.273051012816191,-0.241745576890097,6.90535548085353
0,THRSP,-0.327793767451606,-0.866423948439052,-0.732526777963703,-0.621701822243892,-0.489719545888628,3.77517866009191
0,SCNN1B,-0.713726035153366,-1.97221382015125,-1.48639092235478,-1.04766422810835,-0.368283156364809,6.47463525334591
0,COX8B,-0.101332123674249,-0.319965345519251,-0.271867813933001,-0.237778279224719,-0.205975298203869,5.8359127879496
0,CDKN1C,-0.42204201124778,-1.05826516407906,-0.895928859234792,-0.779368189321855,0.0138025477129955,4.58323842935037
0,RETN,-0.143585671398748,-0.878628889797769,-0.741341028868863,-0.647206398729593,-0.475128904585242,6.84345884333599
0,PTH1R,0.884501600581264,-1.70913531305804,0.0044187907496199,0.870122056375856,1.7468861061493,5.11573403276925
0,SLC26A4,-0.171514271955388,-1.66435641279092,-1.32783812084941,-0.74187491166668,0.167504126242224,6.48739828579469
0,PRKAR2B,-0.250692197419426,-0.504920539670992,-0.437157576528143,-0.390240656348504,-0.346545824539694,3.41463276411991
0,SLC1A3,-0.241746125103995,-0.57404682395575,-0.492230561733459,-0.436887720706615,-0.38292165006281,6.89139555076314
0,PSCA,-0.123782709786287,-0.623302768597507,-0.527240377352026,-0.464053904004123,-0.386208637371949,6.92635861933963
0,LY6D,-0.126728976373062,-0.666523344515413,-0.556329002795352,-0.481752456777515,-0.390797552437868,6.91543269354947
0,UPK3A,-0.0399098224414161,-0.50876753078029,-0.427196500077488,-0.365051683480527,-0.306172094603508,6.95035467639827
0,ADIPOQ,-0.0270969922551718,-0.720343458148691,-0.613287158890016,-0.527105710912927,-0.42420801817254,6.89212506206829
0,APOD,-0.145652491508069,-0.6777455393367,-0.58315425335633,-0.513619596112677,-0.441346167526253,6.86815713875585
0,UPK1B,-0.109012329186048,-0.435049721508615,-0.369090252929209,-0.322103763615479,-0.278686613391192,6.93969987453766
0,PLIN4,-0.24833151849566,-0.787338908300515,-0.664026143062601,-0.575500574970039,-0.467661227064158,6.88594482838939
0,C3,0.12321735918655,-2.19110771522529,-0.86539854962923,-0.181697890856665,0.565796542396324,6.43095458988432
0,CIDEA,-0.0549416828264,-0.366781089611336,-0.311068075194551,-0.266696931384378,-0.22792595245299,6.95687576677534
2,IGFBP2,-0.20667563992842,-0.395346640250242,-0.334511108648518,-0.314292087367367,-0.294020973010219,2.18834448684251
2,ATP1A2,-0.424897443845053,-0.631080890176732,-0.56586919101657,-0.540781932663355,-0.514674194269946,2.83013251803718
2,CLIC3,-0.302969054792123,-1.02168150390786,-0.880114543312404,-0.812799652349236,0.266671861945415,4.76991701394714
2,WT1,-0.664516913314138,-0.933535423770376,-0.822967324018381,-0.783560688095421,-0.745708241813182,1.89988113344694
2,ADIG,-0.384602356877285,-0.633553499298212,-0.547502760027592,-0.520935714758898,-0.490606089099068,3.1712308859657
2,RHBG,-1.0457287500026,-2.230785643534,-1.65351760735276,-1.26979584778374,-0.640915263551258,3.23322094325992
2,SPRR1A,-0.451511326453941,-0.906726281531555,-0.780017032409243,-0.734907675823345,-0.671712871042356,6.86946349109237
2,CIDEC,-0.554094704619596,-0.927620475955778,-0.801123838881138,-0.752330637792167,-0.70199789445991,1.61017403589303
2,PPARG,-0.13162414025495,-0.502029350240859,-0.431899544734988,-0.409520999191555,-0.380216811912412,2.1485391269196
2,PTPRO,-0.670533451749437,-1.00867164703956,-0.887840512585747,-0.846568534512051,-0.800331766602116,2.44004885624052
2,LIPE,-0.383172778460267,-1.04426577692314,-0.915344106429549,-0.848432133512715,0.14964014643837,2.20667462764153
2,FXYD3,-0.0803239247160109,-0.590124766560731,-0.522967720386568,-0.490734656670419,-0.44362251934521,4.90735293736494
2,PLIN1,-0.286485277283433,-0.392846096742132,-0.339832609484674,-0.323966544844265,-0.308408516181177,2.64238655812677
2,THRSP,0.100623515575443,-0.947104667790591,-0.770517190922698,-0.0253708175143741,0.537199099720015,4.31919472376605
2,SCNN1B,-0.733780113635204,-1.98985537142865,-1.40361333975881,-0.9554677138221,-0.373529475861521,3.7598542441315
2,COX8B,-0.212473192159701,-0.353337077535178,-0.300622031043159,-0.284208897270825,-0.269166372620048,2.66547340794259
2,CDKN1C,-0.15893032465735,-1.11565950027822,-0.950099817457597,-0.150867089993964,0.160994577235896,3.02474989688029
2,RETN,-0.586854410907576,-0.923121887049509,-0.823999817159932,-0.778679971330927,-0.726799769661669,1.91882916653592
2,PTH1R,-2.83256055015643,-3.20010664299452,-2.96835827753885,-2.85697394484672,-2.72961565459753,-2.10300935554915
2,SLC26A4,-1.40962345050784,-1.80473642498003,-1.60921676864671,-1.53814567223962,-1.42190717843589,0.13175828809505
2,PRKAR2B,-0.0986985749811044,-0.550340121077159,-0.474771552866476,-0.446782211421203,-0.408211384989482,2.11152951676648
2,SLC1A3,0.124021649998542,-0.60757739952263,-0.526575968241996,-0.493674531144135,0.986949064426372,5.15053192002291
2,PSCA,-0.388360869074618,-0.683137275043827,-0.584927491485129,-0.554611299527446,-0.518940459149972,2.24865153582261
2,LY6D,-0.378633958795365,-0.729629313167852,-0.625724969214621,-0.590076386687539,-0.552406547119461,3.00715728955553
2,UPK3A,-0.251373470354654,-0.559565082210032,-0.475039986537702,-0.447229178133609,-0.418192827297037,2.96234368140229
2,ADIPOQ,-0.559267548925796,-0.763513998487197,-0.678753776737471,-0.646820566618517,-0.610659164238382,1.12125198444271
2,APOD,-0.437827669930857,-0.737199744889409,-0.639312264799147,-0.609006733227928,-0.571761968914374,3.59536240835802
2,UPK1B,-0.271272916152536,-0.477948494822491,-0.407553686035679,-0.386628213711823,-0.364046332240217,2.01574102999915
2,PLIN4,-0.216574911414321,-0.834475808738581,-0.714024405064414,-0.660928582599239,0.436734991535052,2.9843358985018
2,C3,-2.06842468738267,-2.51870305547957,-2.32228876499458,-2.11884961583813,-1.89652959091332,-0.955953618596381
2,CIDEA,-0.223667181033272,-0.405222884701651,-0.344419812605088,-0.32654709823671,-0.307927748735871,2.696730207634
6,IGFBP2,-0.189650700769396,-0.386659473823875,-0.340111588169898,-0.316617151809416,-0.284475324784367,4.32458791291976
6,ATP1A2,-0.341046706554444,-0.637242335266783,-0.57349380540228,-0.539158266335774,-0.493763226576769,4.18469498526312
6,CLIC3,-0.449448293601338,-1.00252061453545,-0.899609184777102,-0.828452138013975,-0.146218195086188,2.52350824239664
6,WT1,-0.564558216671092,-0.918120993500035,-0.82317937384826,-0.767523181477445,-0.699364793976688,1.03451960065225
6,ADIG,-0.325705238110294,-0.621725494888557,-0.557118406925504,-0.520583861792069,-0.476405257030733,2.92485006967641
6,RHBG,-1.41670108462324,-2.26025832706356,-1.87768881458989,-1.57021298379811,-1.14767563988004,1.32173162848477
6,SPRR1A,0.109900490488876,-0.888151548910836,-0.785288617119743,-0.711643910190503,0.223111203928512,6.86946349109237
6,CIDEC,-0.465417760969493,-0.899078180746727,-0.793808718114647,-0.737395617013057,-0.648250665501635,4.62778687019978
6,PPARG,-0.0114502482504263,-0.492306010829092,-0.437295169345513,-0.399533375830803,-0.34152675985868,2.53010612753586
6,PTPRO,-0.501729543025745,-0.991839667478615,-0.880474794589709,-0.822296987655751,-0.691727134092219,2.18837598315455
6,LIPE,-0.399761461426855,-1.05286544290403,-0.924200918801642,-0.827197160555678,0.0917359818284166,2.49236730103182
6,FXYD3,0.185266480458065,-0.59366003711389,-0.528765921273936,-0.478687483869956,-0.383840943376437,6.92859877716878
6,PLIN1,-0.300348830809548,-0.385216687574649,-0.34445422644555,-0.324533701365503,-0.297609962594781,2.14196436275057
6,THRSP,0.193464984296308,-0.927133225006722,-0.7585829228531,0.0784874195166737,0.70903042079195,3.89115303638297
6,SCNN1B,-1.12270369247468,-2.07136174221313,-1.74291981795904,-1.37825360927844,-0.760622585345745,4.99680447842656
6,COX8B,-0.184997169694164,-0.345786732243585,-0.305803687248872,-0.285759364759064,-0.25755130524449,2.94328320413062
6,CDKN1C,-0.226244476891532,-1.11353332329071,-0.982309316015057,-0.799611383816196,0.280285495582221,2.92124039721575
6,RETN,-0.494417661625774,-0.938282893886948,-0.841088854939553,-0.788245813886254,-0.692022817677488,4.58481586479353
6,PTH1R,-2.44753848088704,-3.11463029632065,-2.68984137214776,-2.53877015437878,-2.23386941982917,-1.27404780387106
6,SLC26A4,-1.35209389846757,-1.77957900898111,-1.60881179721795,-1.50485405296292,-1.05097487171164,-0.143811228493475
6,PRKAR2B,-0.0233250443909075,-0.540091407435012,-0.471563364347159,-0.434915522534835,-0.372975982392668,2.64439589320607
6,SLC1A3,0.0178777808654585,-0.61386127656658,-0.53723475516694,-0.490760482340636,-0.397836176929212,3.45761460315207
6,PSCA,0.496051551287578,-0.66830542575886,-0.576912306420873,-0.512304206573485,0.892908279930406,6.92635861933963
6,LY6D,-0.0910512016013833,-0.713987666710739,-0.618070875645817,-0.55944703852272,0.271262064673092,6.90296718935899
6,UPK3A,-0.0699426559990057,-0.546973090563252,-0.484045089516048,-0.450161347662697,-0.406946987343031,6.95035467639827
6,ADIPOQ,-0.452435211325347,-0.770129031023288,-0.688122369743606,-0.641558736084947,-0.580706777722046,2.81142830443984
6,APOD,-0.280375114524606,-0.715080349323588,-0.636123377482006,-0.59283221599854,-0.515568783173719,6.17542535928851
6,UPK1B,-0.0212520284991434,-0.467310895750314,-0.415415262134701,-0.389669442828084,-0.352163440980549,6.93969987453766
6,PLIN4,-0.0910946640735816,-0.832726831500386,-0.72798054252056,-0.647906363090581,0.482552969158049,4.80552639761635
6,C3,-1.59245726586145,-2.53320646936468,-2.17311009481174,-1.88530844082792,-1.37684608103997,1.92768765636686
6,CIDEA,-0.244525044166892,-0.396540281851028,-0.350175355411084,-0.326195059188561,-0.294975725696938,2.53413325073037
5,IGFBP2,-0.0596359459979907,-0.35501694744406,-0.27002297764077,-0.232332952469283,-0.202075388723872,6.96701357278757
5,ATP1A2,-0.127560443335772,-0.595752309999522,-0.488440035006537,-0.424715258407493,-0.383310916891006,4.19005735906124
5,CLIC3,-0.171037472306708,-0.940537716454618,-0.753806732822454,-0.663754884083183,-0.0961790760714922,3.8400523269323
5,WT1,-0.102629838061391,-0.861866948085932,-0.699743262455058,-0.622569683963075,-0.526062037397917,6.76871592224418
5,ADIG,-0.184283787546707,-0.578578683085049,-0.466988246055811,-0.406873834223449,-0.362425540277641,6.27903859848365
5,RHBG,0.0221450776571805,-1.99669090116237,-1.49866382208875,-0.736049882701174,0.822184114748491,6.14975601438547
