gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,c_seurat_clusters
SMIM24,4.06096892716532e-32,0.284886947083598,0.996,0.9,6.94303857477455e-28,0
PPP1R1B,5.72742513355559e-32,-0.539434563640452,0.52,0.823,9.79217875083999e-28,0
DMGDH,1.14006462503233e-31,0.337669533666544,0.988,0.822,1.94916848941777e-27,0
AADAC,1.89771669447129e-31,0.326079889664337,0.992,0.84,3.24452623253756e-27,0
TRIM63,1.98353194249467e-31,0.356143876442523,0.628,0.255,3.39124456208314e-27,0
BID,2.44429388320369e-31,0.348688342285499,0.932,0.723,4.17900925211336e-27,0
DLEU7,2.56110221422065e-31,0.310090834589478,0.452,0.136,4.37871645565305e-27,0
CPN1,2.74580342453553e-31,0.379385376174964,0.976,0.714,4.6945001149284e-27,0
EHHADH,2.99023404655027e-31,0.292708737739187,1,0.929,5.11240314938699e-27,0
EFHD1,3.60679974109398e-31,-0.391770392690454,0.78,0.912,6.16654551734838e-27,0
MACROD2,4.07130876979468e-31,0.360116070384379,0.928,0.675,6.96071660371797e-27,0
AQP11,6.94147784359503e-31,0.356971854084089,0.932,0.679,1.18678446691944e-26,0
SGPP1,8.67833879121043e-31,0.303554865653226,0.956,0.845,1.48373558313325e-26,0
KRT7,1.37989882144238e-30,-0.340587979210916,0.864,0.974,2.35921301502003e-26,0
AMN,1.38757400179991e-30,0.317744688382924,0.992,0.837,2.37233527087731e-26,0
ANXA2,1.67532724117729e-30,-0.42343823316785,0.716,0.899,2.86430698424081e-26,0
TMEM213,1.68084174697965e-30,-0.317285997611122,0.952,0.975,2.87373513481111e-26,0
CD24A,1.91484849656695e-30,-0.289849833241683,0.956,0.988,3.27381647458052e-26,0
LGALS3,3.34314867249578e-30,-0.376659778860645,0.788,0.942,5.71578128536603e-26,0
ISOC2A,9.04430023792179e-30,0.353047558234959,0.932,0.71,1.54630401167749e-25,0
LYZ2,1.01111009154581e-29,-0.48637940126155,0.604,0.85,1.72869492351588e-25,0
SLC25A25,1.16778894691973e-29,0.37244261314685,0.864,0.598,1.99656876254867e-25,0
TMEM50A,1.53768691495054e-29,-0.331691619400519,0.76,0.921,2.62898331849094e-25,0
SERPING1,1.72033375065206e-29,-0.290346097156434,0.908,0.988,2.94125461348983e-25,0
SLC2A1,1.76499294384313e-29,-0.391706822150119,0.7,0.888,3.0176084360886e-25,0
PRNP,1.94251983367162e-29,0.256384978102548,1,0.928,3.32112615962838e-25,0
GM4450,2.07284837203843e-29,0.345920333602505,0.94,0.721,3.54394886167411e-25,0
DHTKD1,2.74129994467889e-29,0.397345810536074,0.788,0.446,4.6868005154175e-25,0
BCAT2,2.87942770186418e-29,-0.290350215477862,0.892,0.973,4.92295754187719e-25,0
DECR2,4.669138017305e-29,0.352845805658334,0.892,0.646,7.98282526818636e-25,0
METTL7B,5.2658998155803e-29,0.294708087436341,1,0.89,9.00310891469765e-25,0
AGXT2,8.98817152828724e-29,0.383276008380411,0.872,0.53,1.53670768619127e-24,0
H2-DMB1,1.12552080177821e-28,0.311581487707331,0.984,0.841,1.9243029148002e-24,0
TMEM106A,1.37956502989967e-28,0.308140205217334,0.976,0.845,2.35864233161947e-24,0
COX7A1,1.4789855799849e-28,-0.414268468655492,0.732,0.895,2.52862164610019e-24,0
RAB11FIP3,1.53608913515415e-28,0.266671420418586,0.992,0.899,2.62625159437306e-24,0
PRR5,1.86248787506019e-28,0.375237629673201,0.82,0.487,3.18429551999041e-24,0
AHCY,2.05697483247286e-28,0.298744694122824,1,0.872,3.51680987107885e-24,0
HSPA1B,2.34350846074601e-28,-0.496921019306622,0.44,0.725,4.00669641533745e-24,0
PTGDS,2.4751345263528e-28,-0.557274304741694,0.512,0.782,4.23173749970539e-24,0
TSPAN12,2.54285573150674e-28,-0.413176841165581,0.468,0.751,4.34752044415707e-24,0
RXRA,3.70829900258339e-28,0.276702449709385,0.972,0.864,6.34007880471682e-24,0
SUGCT,4.13491701596083e-28,0.285520292194257,0.992,0.893,7.06946762218823e-24,0
PAQR5,4.37201213013451e-28,-0.28868857020899,0.94,0.981,7.47482913889098e-24,0
COQ8A,4.55468168433612e-28,0.259066594277964,0.988,0.907,7.78713927570946e-24,0
EPN3,9.04766335584697e-28,-0.433897177164222,0.428,0.742,1.54687900394916e-23,0
